DATE,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-CLDD-NORMAL,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV,MONTH
1,24.466666666666665,-515.1333333333333,-6221.466666666666,-3629.266666666667,-518.4666666666667,0.0,0.0,0.0,10.726666666666667,1.5866666666666667,90.33333333333333,24.466666666666665,-515.1333333333333,-6221.466666666666,-3629.266666666667,-518.4666666666667,0.0,0.0,0.0,27.6,16.2,60.4,149.33333333333334,283.06666666666666,435.06666666666666,496.8666666666667,589.8666666666667,744.8666666666667,5.774615384615384,7.845384615384615,10.304615384615385,19.423076923076923,14.015384615384615,5.438461538461539,1.9692307692307691,7.442352941176471,0.0,1.24,4.26,-776.05,1.2,-777.22,-777.51,-777.6800000000001,-774.6800000000001,3.1399999999999997,-775.7,-776.3,-777.2,40.980000000000004,2.5933333333333333,260.26666666666665,9.2,-515.5333333333333,0.0,0.0,0.0,0.0,0.6266666666666667,46.333333333333336,2.7,0.0,-1555.2666666666667,5.333333333333333,8.52,226.53333333333333,307.8,310.0,310.0,35.61333333333334,107.73333333333333,245.13333333333333,517.8,828.2,977.6666666666666,999.6,2.7333333333333334,Jan
2,27.866666666666667,3.466666666666667,-7258.466666666666,-6740.066666666667,-1036.9333333333334,0.0,0.0,0.0,13.886666666666667,1.9,99.4,27.866666666666667,3.466666666666667,-7258.466666666666,-6740.066666666667,-1036.9333333333334,0.0,0.0,0.0,43.733333333333334,29.066666666666666,34.2,102.8,218.13333333333333,355.0,410.93333333333334,494.8666666666667,634.9333333333333,3.4407692307692304,4.912307692307692,6.746153846153846,15.576923076923077,10.692307692307692,3.376923076923077,0.9615384615384616,4.958235294117648,0.05,0.8600000000000001,2.88,1.2,0.8299999999999998,0.32999999999999996,-777.5699999999999,-2333.09,-775.4,2.25,1.34,-1554.52,0.25,42.32,2.6133333333333337,261.1333333333333,12.873333333333333,11.466666666666667,-1036.8,0.0,0.0,0.0,0.20666666666666667,49.27333333333333,2.68,-518.4666666666667,-518.0,4.666666666666667,7.8,209.4,279.0,280.0,280.0,35.38,57.6,171.53333333333333,412.2,733.7333333333333,952.5333333333333,999.4666666666667,2.9,Feb
3,74.8,17.333333333333332,-516.4,-3110.2,-7777.0,0.0,0.0,-4147.733333333334,15.333333333333334,1.74,187.8,74.8,17.333333333333332,-516.4,-3110.2,-7777.0,-4147.733333333334,0.0,0.0,94.93333333333334,71.33333333333333,11.4,53.2,150.73333333333332,290.53333333333336,351.2,443.46666666666664,598.4666666666667,4.615384615384615,5.641538461538461,6.895384615384615,19.053846153846152,13.061538461538463,3.769230769230769,0.9769230769230769,5.389411764705883,0.0,0.43,2.59,0.9099999999999999,0.66,-2332.8,-1555.23,-2333.08,-776.03,-1554.21,-776.99,-777.26,0.16,45.693333333333335,2.2800000000000002,302.73333333333335,21.793333333333333,45.8,3.4,-1036.9333333333334,0.0,0.0,-1555.3666666666666,53.36,2.76,0.0,0.0,-2073.4666666666667,4.36,194.13333333333333,308.1333333333333,310.0,310.0,38.03333333333333,6.533333333333333,27.133333333333333,100.66666666666667,372.0,787.3333333333334,985.7333333333333,2.06,Mar
4,155.46666666666667,58.0,14.933333333333334,7.866666666666666,2.4,-1555.4,0.0,-7258.533333333334,17.09333333333333,2.066666666666667,292.2,155.46666666666667,58.0,14.933333333333334,7.866666666666666,2.4,-7258.533333333334,-1555.4,0.0,158.4,129.53333333333333,-3627.0666666666666,15.333333333333334,68.0,175.0,227.86666666666667,312.53333333333336,460.2,3.338461538461538,4.412307692307692,5.503846153846154,16.56153846153846,10.684615384615386,2.8923076923076922,0.6692307692307692,4.174705882352941,0.0,0.05,1.02,0.33999999999999997,0.24,0.09,0.04,0.0,-776.96,0.45,0.24000000000000005,0.13,0.04,49.64666666666667,1.8599999999999999,298.73333333333335,26.646666666666665,106.73333333333333,21.666666666666668,1.9333333333333333,0.0,0.0,0.0,58.2,2.3333333333333335,0.0,0.0,0.0,-1035.8066666666666,121.73333333333333,290.06666666666666,300.0,300.0,41.126666666666665,0.0,0.6,9.866666666666667,86.06666666666666,389.6666666666667,839.4666666666667,1.9066666666666667,Apr
5,318.1333333333333,176.33333333333334,72.66666666666667,46.2,21.133333333333333,-4147.266666666666,-7777.0,4.133333333333334,18.10666666666667,2.1599999999999997,471.06666666666666,318.1333333333333,176.33333333333334,72.66666666666667,46.2,21.133333333333333,4.133333333333334,-4147.266666666666,-7777.0,270.2,230.66666666666666,-2592.2,-5182.733333333334,15.2,66.73333333333333,102.26666666666667,170.06666666666666,308.06666666666666,2.646153846153846,3.6092307692307695,4.603846153846154,14.115384615384615,8.784615384615385,2.3,-597.7153846153847,3.37,0.0,0.0,0.0,0.04,-777.6800000000001,-1555.4,0.0,0.0,0.06000000000000001,0.02,-777.6899999999999,0.0,0.0,55.18666666666666,2.1,309.93333333333334,30.37333333333333,213.0,68.46666666666667,11.666666666666666,-2073.826666666667,-518.4666666666667,0.0,64.25333333333333,2.7266666666666666,0.0,0.0,0.0,-1555.3133333333333,35.6,241.33333333333334,309.6666666666667,310.0,46.14,0.0,0.0,1.4666666666666666,6.466666666666667,60.93333333333333,310.26666666666665,1.9333333333333333,May
6,452.8666666666667,304.26666666666665,165.8,118.46666666666667,63.333333333333336,3.2666666666666666,-1554.1333333333334,17.0,18.44,2.26,602.7333333333333,452.8666666666667,304.26666666666665,165.8,118.46666666666667,63.333333333333336,17.0,3.2666666666666666,-1554.1333333333334,371.3333333333333,320.73333333333335,-518.4666666666667,-2073.8,-5183.2,13.266666666666667,25.933333333333334,60.8,164.26666666666668,1.7223076923076923,2.8684615384615384,3.9092307692307693,11.353846153846153,6.6461538461538465,1.7923076923076924,0.5076923076923077,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.093333333333334,1.9866666666666668,300.0,29.92,268.06666666666666,126.73333333333333,30.866666666666667,-1555.1533333333332,0.0,0.0,69.31333333333333,2.8733333333333335,0.0,0.0,0.0,0.0,-516.0666666666667,120.53333333333333,296.1333333333333,300.0,50.86,0.0,0.0,0.0,0.0,0.13333333333333333,17.066666666666666,1.4533333333333334,Jun
7,611.2666666666667,456.3333333333333,302.8,242.93333333333334,159.13333333333333,13.733333333333333,7.266666666666667,57.06666666666667,20.69333333333333,2.546666666666667,766.2666666666667,611.2666666666667,456.3333333333333,302.8,242.93333333333334,159.13333333333333,57.06666666666667,13.733333333333333,7.266666666666667,515.6,456.6,0.0,-518.4666666666667,-1036.8666666666666,-4664.733333333334,-3107.0666666666666,12.933333333333334,65.8,0.5630769230769231,1.1607692307692308,1.9607692307692306,6.569230769230769,3.3307692307692305,0.7615384615384616,-598.0538461538462,1.2658823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.73333333333333,2.1733333333333333,310.0,31.0,304.1333333333333,229.93333333333334,78.46666666666667,1.0333333333333334,-1555.3733333333332,0.0,75.07333333333332,3.1199999999999997,0.0,0.0,0.0,0.0,-1555.2666666666667,42.266666666666666,285.1333333333333,309.6666666666667,54.36666666666667,0.0,0.0,0.0,0.0,0.0,0.2,1.7266666666666666,Jul
8,623.2666666666667,468.26666666666665,314.1333333333333,253.6,167.46666666666667,11.066666666666666,4.933333333333334,58.0,21.146666666666665,2.1599999999999997,778.2666666666667,623.2666666666667,468.26666666666665,314.1333333333333,253.6,167.46666666666667,58.0,11.066666666666666,4.933333333333334,529.2,470.46666666666664,0.0,-518.4666666666667,-1555.4,-4146.933333333333,-4145.4,9.266666666666667,54.8,0.6184615384615384,1.1023076923076922,1.9469230769230772,6.06923076923077,3.253846153846154,0.8999999999999999,0.23846153846153847,1.3435294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.10666666666667,1.4466666666666665,310.0,31.0,306.46666666666664,246.4,82.33333333333333,0.5333333333333333,0.013333333333333334,0.0,75.68,2.1,0.0,0.0,0.0,0.0,-1036.8,43.13333333333333,284.6,310.0,54.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.46,Aug
9,451.0,302.6666666666667,165.46666666666667,118.93333333333334,63.4,-1035.3333333333333,-4665.8,13.933333333333334,19.720000000000002,2.48,600.8,451.0,302.6666666666667,165.46666666666667,118.93333333333334,63.4,13.933333333333334,-1035.3333333333333,-4665.8,377.8,329.26666666666665,-518.4666666666667,-3629.133333333333,-4664.466666666666,14.6,27.933333333333334,62.46666666666667,163.0,1.2884615384615385,2.539230769230769,3.513076923076923,9.161538461538461,5.446153846153846,1.669230769230769,-597.8538461538462,2.3241176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.04,1.7666666666666666,300.0,29.933333333333334,275.1333333333333,143.06666666666666,27.733333333333334,-1036.8,0.0,0.0,69.89333333333335,2.493333333333333,0.0,0.0,0.0,-2592.3066666666664,9.733333333333333,135.2,296.3333333333333,300.0,50.17333333333333,0.0,0.0,0.0,0.0,4.533333333333333,72.46666666666667,1.7333333333333334,Sep
10,218.73333333333332,96.93333333333334,26.2,13.0,3.6,-4147.733333333334,-2073.866666666667,-7777.0,15.333333333333334,2.033333333333333,366.2,218.73333333333332,96.93333333333334,26.2,13.0,3.6,-7777.0,-4147.733333333334,-2073.866666666667,191.13333333333333,155.06666666666666,-4665.333333333333,8.4,41.4,125.86666666666666,174.53333333333333,258.2,409.8,3.4099999999999997,5.027692307692307,6.894615384615384,14.923076923076923,9.86153846153846,3.5461538461538464,1.1538461538461537,4.915882352941176,0.0,0.0,0.0,-777.6800000000001,-777.6899999999999,-777.7,0.0,0.0,-1555.3799999999999,-777.6800000000001,-777.6899999999999,-777.7,-777.7,51.8,1.5866666666666667,309.6666666666667,29.14,137.93333333333334,18.133333333333333,-1035.8666666666666,-518.4666666666667,0.0,0.0,59.45333333333333,1.9,0.0,0.0,-518.4666666666667,0.7066666666666667,74.4,262.53333333333336,310.0,310.0,44.12,0.0,1.0666666666666667,6.933333333333334,65.06666666666666,295.26666666666665,677.4666666666667,1.8666666666666667,Oct
11,62.6,14.266666666666667,-1035.5333333333333,-4147.266666666666,-6221.6,0.0,0.0,-518.4666666666667,11.493333333333334,1.7133333333333334,161.13333333333333,62.6,14.266666666666667,-1035.5333333333333,-4147.266666666666,-6221.6,-518.4666666666667,0.0,0.0,58.733333333333334,39.06666666666667,25.333333333333332,76.33333333333333,177.93333333333334,315.1333333333333,374.1333333333333,463.6666666666667,613.6,5.943846153846153,8.653076923076922,11.954615384615384,20.023076923076925,14.984615384615385,6.346153846153846,2.4,8.47764705882353,0.0,0.2,1.72,0.7100000000000001,0.52,0.26999999999999996,-2332.96,0.02,2.02,1.15,0.8299999999999998,0.5900000000000001,0.22999999999999998,44.54,2.9266666666666667,284.46666666666664,16.279999999999998,13.4,-1036.5333333333333,0.0,0.0,0.0,0.36000000000000004,50.3,3.006666666666667,0.0,-1036.6666666666667,3.933333333333333,4.513333333333334,161.73333333333332,290.8,300.0,300.0,38.79333333333333,17.666666666666668,60.6,183.26666666666668,448.26666666666665,813.1333333333333,991.1333333333333,3.08,Nov
12,14.6,-1554.0,-5703.133333333333,-3110.8,0.0,0.0,0.0,0.0,10.253333333333334,1.26,66.0,14.6,-1554.0,-5703.133333333333,-3110.8,0.0,0.0,0.0,0.0,16.533333333333335,-509.93333333333334,82.33333333333333,185.66666666666666,327.8666666666667,481.26666666666665,543.2666666666667,636.3333333333334,791.3333333333334,5.714615384615384,7.390769230769231,9.47,19.146153846153847,13.646153846153847,5.153846153846154,1.8846153846153846,7.131764705882353,0.13999999999999999,1.19,4.6,1.85,1.27,-777.2299999999999,-777.51,-2333.08,2.98,-774.49,-775.79,1.21,0.4,39.473333333333336,2.6,245.2,6.006666666666666,-1554.7333333333333,0.0,0.0,0.0,0.0,1.0933333333333333,44.6,2.6333333333333333,0.0,-1035.8666666666666,10.2,10.193333333333333,249.13333333333333,309.4,310.0,310.0,34.34,143.93333333333334,286.53333333333336,539.3333333333334,850.9333333333333,991.6666666666666,1000.0,2.7133333333333334,Dec
