;C;Pais;capital;Pobla;Superf;moneda;punto mas alto;altura;Pob-cap;Per-pob;Pib PC;Nominal;Eda-Me;E-vida;Cultiv;Fertil;Escol;Dens
29;o;Samoa;Apia;0.2;2.83;Dólar;Mauga Silisili (Savaii);1857;37.0;18.5%;5,500;0.79;24.4;74.0;2.8;2.7;;70.7
32;a;Brunei;Bandar Seri Bega One;0.444;5.765;Dólar;Bukit Pagon;1850;241.0;54.3%;76,900;11.4;30.2;77.3;0.8;1.78;15.0;76.9
7;m;San Cristobal y Nieves;Baseterre;0.053;0.261;Dólar;Monte Liamuiga;1156;14.0;26.6%;26,100;0.9;35.0;75.9;19.2;1.77;14.0;202.0
51;m;Belice;Belmopan;0.36;23.0;Dólar;Doyle's Delight;1124;17.0;4.7%;8,200;1.74;22.7;68.9;3.3;2.85;13.0;15.7
12;m;Barbados;Bridgetown;0.292;0.43;Dólar;Hillaby;336;90.0;30.8%;17,100;4.55;38.6;75.5;25.6;1.68;15.0;679.9
194;o;Australia;Canberra;23.232;7741.22;Dólar;Pico Mawson en la Isla Heard;2745;423.0;1.8%;48,900;1262.0;38.7;82.3;6.2;1.77;20.0;3.0
17;m;Santa Lucia;Castries;0.165;0.616;Dólar;Monte Gimie;950;22.0;13.3%;11,800;1.68;34.8;77.9;4.9;1.75;13.0;267.8
44;a;Timor oriental;Dili;1.291;14.874;Dólar;Foho Tatamailau;2963;228.0;17.7%;4,200;2.7;18.9;68.4;10.1;4.79;13.0;86.8
3;o;Tuvalu;Funafuti;0.011;0.026;Dólar;Sin nombre, Niulakita;5;6.0;54.3%;3,500;0.04;25.7;66.9;0.0;2.95;;425.1
116;m;Guyana;Georgetown;0.737;214.969;Dólar;Monte Roraima;2750;124.0;16.8%;7,900;3.44;26.2;68.6;2.1;2.0;10.0;3.4
140;f;Zimbaue;Harare;13.805;390.757;Dólar;Monte Nyangani;2592;1501.0;10.9%;2,000;16.12;20.0;60.4;10.9;3.98;10.0;35.3
25;a;Hong kong;Hong Kong;7.16;1.1;Dólar;Tai mo shan;958;7160.0;100.0%;42,123;341.4;;;;;;6509.1
59;o;Islas Salomon;Honiara;0.648;28.9;Dólar;Popomanaseu;2335;73.0;11.3%;2,000;1.23;22.5;75.6;0.7;3.16;9.0;22.4
